## Diff [ mockv1.0.0 ~ autotools ]
## Diff test01

| No. | Status | File | Plus | Minus | Type |
| --- | --- | --- | --- | --- | --- |
| 1 | M | .gitignore | 3 | 0 | App |
| 2 | A | .gitlab-ci.yml | 31 | 0 | App |
| 3 | M | App/ATMSearch/atmsearch-bl/pom.xml | 49 | 49 | Maven |
| 4 | M | App/ATMSearch/atmsearch-common/pom.xml | 35 | 35 | Maven |
| 5 | M | App/ATMSearch/atmsearch-properties-mbl/pom.xml | 31 | 31 | Maven |
| 6 | M | App/ATMSearch/atmsearch-properties-pc/pom.xml | 25 | 25 | Maven |
| 7 | M | App/ATMSearch/atmsearch-properties-sp/pom.xml | 31 | 31 | Maven |
| 8 | M | App/ATMSearch/pom.xml | 54 | 54 | Maven |
| 9 | M | App/AccountManagement/accountmanagement-bl-api/pom.xml | 34 | 34 | Maven |
| 10 | M | App/AccountManagement/accountmanagement-bl-mbl/pom.xml | 175 | 175 | Maven |
| 11 | M | App/AccountManagement/accountmanagement-bl-pc/pom.xml | 173 | 173 | Maven |
| 12 | M | App/AccountManagement/accountmanagement-bl-sp/pom.xml | 169 | 169 | Maven |
| 13 | M | App/AccountManagement/accountmanagement-bl/pom.xml | 93 | 93 | Maven |
| 14 | M | App/AccountManagement/accountmanagement-common/pom.xml | 35 | 35 | Maven |
| 15 | M | App/AccountManagement/accountmanagement-pl-mbl/pom.xml | 124 | 124 | Maven |
| 16 | M | App/AccountManagement/accountmanagement-pl-pc/pom.xml | 98 | 98 | Maven |
| 17 | M | App/AccountManagement/accountmanagement-pl-sp/pom.xml | 142 | 142 | Maven |
| 18 | M | App/AccountManagement/accountmanagement-pl/pom.xml | 63 | 63 | Maven |
| 19 | M | App/AccountManagement/accountmanagement-properties-mbl/pom.xml | 31 | 31 | Maven |
| 20 | M | App/AccountManagement/accountmanagement-properties-pc/pom.xml | 25 | 25 | Maven |
| 21 | M | App/AccountManagement/accountmanagement-properties-sp/pom.xml | 31 | 31 | Maven |
| 22 | M | App/AccountManagement/pom.xml | 61 | 61 | Maven |
| 23 | M | App/Affiliation/affiliation-bl/pom.xml | 49 | 49 | Maven |
| 24 | M | App/Affiliation/affiliation-common/pom.xml | 35 | 35 | Maven |
| 25 | M | App/Affiliation/affiliation-properties-mbl/pom.xml | 31 | 31 | Maven |
| 26 | M | App/Affiliation/affiliation-properties-pc/pom.xml | 25 | 25 | Maven |
| 27 | M | App/Affiliation/affiliation-properties-sp/pom.xml | 31 | 31 | Maven |
| 28 | M | App/Affiliation/pom.xml | 54 | 54 | Maven |
| 29 | M | App/BankBoxService/bankboxservice-bl-api/pom.xml | 34 | 34 | Maven |
| 30 | M | App/BankBoxService/bankboxservice-bl-mbl/pom.xml | 129 | 129 | Maven |
| 31 | M | App/BankBoxService/bankboxservice-bl-pc/pom.xml | 127 | 127 | Maven |
| 32 | M | App/BankBoxService/bankboxservice-bl-sp/pom.xml | 127 | 127 | Maven |
| 33 | M | App/BankBoxService/bankboxservice-bl/pom.xml | 56 | 56 | Maven |
| 34 | M | App/BankBoxService/bankboxservice-common/pom.xml | 35 | 35 | Maven |
| 35 | M | App/BankBoxService/bankboxservice-pl-mbl/pom.xml | 115 | 115 | Maven |
| 36 | M | App/BankBoxService/bankboxservice-pl-pc/pom.xml | 114 | 114 | Maven |
| 37 | M | App/BankBoxService/bankboxservice-pl-sp/pom.xml | 116 | 116 | Maven |
| 38 | M | App/BankBoxService/bankboxservice-pl/pom.xml | 49 | 49 | Maven |
| 39 | M | App/BankBoxService/bankboxservice-properties-mbl/pom.xml | 31 | 31 | Maven |
| 40 | M | App/BankBoxService/bankboxservice-properties-pc/pom.xml | 25 | 25 | Maven |
| 41 | M | App/BankBoxService/bankboxservice-properties-sp/pom.xml | 36 | 36 | Maven |
| 42 | M | App/BankBoxService/pom.xml | 61 | 61 | Maven |
| 43 | M | App/CardManagement/cardmanagement-bl/pom.xml | 49 | 49 | Maven |
| 44 | M | App/CardManagement/cardmanagement-common/pom.xml | 35 | 35 | Maven |
| 45 | M | App/CardManagement/cardmanagement-properties-mbl/pom.xml | 31 | 31 | Maven |
| 46 | M | App/CardManagement/cardmanagement-properties-pc/pom.xml | 25 | 25 | Maven |
| 47 | M | App/CardManagement/cardmanagement-properties-sp/pom.xml | 31 | 31 | Maven |
| 48 | M | App/CardManagement/pom.xml | 54 | 54 | Maven |
| 49 | M | App/Common/common-base-webapp-mbl/pom.xml | 37 | 37 | Maven |
| 50 | M | App/Common/common-base-webapp-pc/pom.xml | 25 | 25 | Maven |
| 51 | M | App/Common/common-base-webapp-sp/pom.xml | 37 | 37 | Maven |
| 52 | M | App/Common/common-base/pom.xml | 96 | 96 | Maven |
| 53 | M | App/Common/common-businesslogic-webapp/pom.xml | 25 | 25 | Maven |
| 54 | M | App/Common/common-businesslogic/pom.xml | 51 | 51 | Maven |
| 55 | M | App/Common/common-interface-pl-bl/pom.xml | 50 | 50 | Maven |
| 56 | M | App/Common/common-presentation-webapp-mbl/pom.xml | 37 | 37 | Maven |
| 57 | M | App/Common/common-presentation-webapp-pc/pom.xml | 25 | 25 | Maven |
| 58 | M | App/Common/common-presentation-webapp-sp/pom.xml | 37 | 37 | Maven |
| 59 | M | App/Common/common-presentation/pom.xml | 95 | 95 | Maven |
| 60 | M | App/Common/pom.xml | 63 | 63 | Maven |
| 61 | M | App/CommonService/commonservice-bl/pom.xml | 85 | 85 | Maven |
| 62 | M | App/CommonService/commonservice-common/pom.xml | 51 | 51 | Maven |
| 63 | M | App/CommonService/commonservice-pl-webapp-mbl/pom.xml | 37 | 37 | Maven |
| 64 | M | App/CommonService/commonservice-pl-webapp-pc/pom.xml | 25 | 25 | Maven |
| 65 | M | App/CommonService/commonservice-pl-webapp-sp/pom.xml | 37 | 37 | Maven |
| 66 | M | App/CommonService/commonservice-pl/pom.xml | 67 | 67 | Maven |
| 67 | M | App/CommonService/commonservice-properties-mbl/pom.xml | 37 | 37 | Maven |
| 68 | M | App/CommonService/commonservice-properties-pc/pom.xml | 25 | 25 | Maven |
| 69 | M | App/CommonService/commonservice-properties-sp/pom.xml | 37 | 37 | Maven |
| 70 | M | App/CommonService/pom.xml | 62 | 62 | Maven |
| 71 | M | App/Demand/demand-common/pom.xml | 30 | 30 | Maven |
| 72 | M | App/Demand/pom.xml | 50 | 50 | Maven |
